Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Gol Linhas Aereas Inteligentes S.A.,2013,7581,Brazil,Industrials,GOLL4 BZ,BRGOLLACNPR4,3624766,1971,NA,2014,3626737
Goldcorp Inc.,2013,7582,Canada,Materials,G CN,CA3809564097,694761,726216,NA,2014,1420977
Goldman Sachs Group Inc.,2013,7599,USA,Financials,GS US,US38141G1040,11323,248886,NA,2014,260209
Google Inc.,2013,7616,USA,Information Technology,GOOG US,US38259P5089,41373,1245253,14481,2014,1301107
Goodyear Tire & Rubber Company,2013,7619,USA,Consumer Discretionary,GT US,US3825501014,1226653,1895713,NA,2014,3122366
GPT Group,2013,7647,Australia,Financials,GPT AU,AU000000GPT8,10076,153226,NA,2014,163302
Grainger plc,2013,7677,United Kingdom,Financials,GRI LN,GB00B04V1276,1467,956,NA,2014,2423
Great-West Lifeco Inc.,2013,7690,Canada,Financials,GWO CN,CA39138C1068,10988,14578,NA,2014,25566
Great Portland Estates,2013,7702,United Kingdom,Real Estate,GPOR LN,GB00B01FLL16,2744,6699,NA,2016,9443
Greene King,2013,7717,United Kingdom,Consumer Discretionary,GNK LN,GB00B0HZP136,55189,109292,NA,2015,164481
Anglo American,2013,772,United Kingdom,Materials,AAL LN,GB00B1XZS820,7279561,9732210,5523,2014,17017294
Greggs,2013,7767,United Kingdom,Consumer Staples,GRG LN,GB00B63QSB39,38032,95296,NA,2014,133328
Anglo American Platinum,2013,777,South Africa,Materials,AMS SJ,ZAE000013181,557773,5377759,NA,2014,5935532
Groupe Steria,2013,7773,France,Information Technology,RIA FP,FR0000072910,1952,11805,NA,2014,13757
Growthpoint Properties,2013,7776,South Africa,Financials,GRT SJ,ZAE000179420,39,1950,NA,2015,1989
GRIFOLS,2013,7788,Spain,Health Care,GRF SM,ES0171996012,80332,107727,NA,2014,188059
AngloGold Ashanti,2013,779,South Africa,Materials,ANG SJ,ZAE000043485,1277000,3228000,NA,2014,4505000
Grindrod Ltd,2013,7791,South Africa,Industrials,GND SJ,ZAE000072328,479216,22059,NA,2014,501275
Group Five Ltd,2013,7799,South Africa,Industrials,GRF SJ,ZAE000027405,76321,57058,NA,2015,133379
Aberdeen Asset Management,2013,78,United Kingdom,Financials,ADN LN,GB0000031285,571,3463,NA,2014,4034
Groupe Eurotunnel,2013,7808,France,Industrials,GET FP,FR0010533075,103714,64745,NA,2014,168459
Aimia Inc.,2013,7814,Canada,Consumer Discretionary,AIM CN,CA00900Q1037,1055,5129,NA,2014,6184
"Grupo Bimbo, S.A.B. de C.V.",2013,7830,Mexico,Consumer Staples,BIMBOA MM,MXP495211262,1103822,300472,NA,2014,1404294
Grupo Televisa S.A.,2013,7838,Mexico,Consumer Discretionary,TLEVICPO MM,MXP4987V1378,NA,NA,6654,2014,6654
GS Engineering & Construction,2013,7843,South Korea,Industrials,006360 KS,KR7006360002,21091,47072,NA,2014,68163
GS Yuasa Corporation,2013,7844,Japan,Industrials,6674 JP,JP3385820000,15333,104738,NA,2014,120071
H&M Hennes & Mauritz AB,2013,7903,Sweden,Consumer Discretionary,HMB SS,SE0000106270,16435,339939,NA,2014,356374
H&R Real Estate Investment Trust,2013,7904,Canada,Real Estate,HR-U CN,CA4044282032,22021,62062,NA,2017,84083
H&R AG,2013,7913,Germany,Materials,2HR GR,DE0007757007,NA,NA,NA,2014,0
APA Group,2013,802,Australia,Utilities,APA AU,AU000000APA1,311421,24201,NA,2015,335622
Halliburton Company,2013,8027,USA,Energy,HAL US,US4062161017,8444432,252711,NA,2015,8697143
Halma,2013,8031,United Kingdom,Information Technology,HLMA LN,GB0004052071,4199,17105,NA,2014,21304
"The Hachijuni Bank, Ltd.",2013,8032,Japan,Financials,8359 JT,JP3769000005,2293,11629,NA,2014,13922
Apache Corporation,2013,804,USA,Energy,APA US,US0374111054,8400000,1500000,NA,2014,9900000
Hamburger Hafen und Logistik AG,2013,8048,Germany,Industrials,HHFA GR,DE000A0S8488,80596,45499,NA,2014,126095
Hammerson,2013,8051,United Kingdom,Financials,HMSO LN,GB0004065016,5595,28491,NA,2014,34086
Hafslund ASA,2013,8052,Norway,Utilities,HNA NO,NO0004306408,30510,78530,NA,2014,109040
Caesars Entertainment,2013,8054,USA,Consumer Discretionary,HET US,US4136191073,234345,819782,NA,2014,1054127
Hang Seng Bank,2013,8057,Hong Kong,Financials,11 HK,HK0011000095,0,24634,NA,2014,24634
Hanwha Corp.,2013,8061,South Korea,Materials,000880 KS,KR7000880005,65756,31738,1214,2014,98708
Ansaldo STS,2013,807,Italy,Industrials,STS IM,IT0003977540,2751,11203,NA,2014,13954
Hankook Tire Co Ltd,2013,8074,South Korea,Consumer Discretionary,161390 KS,KR7161390000,252343,952451,NA,2014,1204794
Hanjin Shipping,2013,8078,South Korea,Industrials,117930 KS,KR7117930008,8971824,66701,NA,2014,9038525
