Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Deutsche Bahn AG,2016,41143,Germany,Ground Transportation - Railroads Transportation,DBHN GR,NA,3868284,6205507,NA,2017,10073791
CSX Corporation,2016,4120,USA,Ground Transportation - Railroads Transportation,CSX US,US1264081035,4774800,229217,NA,2017,5004017
CTT - Correios de Portugal SA,2016,41342,Portugal,Air Freight transportation and Logistics,CTT PL,PTCTT0AM0001,16332,0,NA,2017,16332
Cummins Inc.,2016,4136,USA,Electrical Equipment and Machinery,CMI US,US2310211063,303885,535703,14,2017,839602
EKOTEN TEKSTIL SANAYI VE TICARET A.S.,2016,41374,Turkey,"Textiles, Apparel, Footwear and Luxury Goods",6107023Z TI,NA,18848,2666,NA,2017,21514
KORAIL RAILROAD Corp.,2016,41399,South Korea,Ground Transportation - Railroads Transportation,KORAILZ KS,NA,358392,1261916,NA,2017,1620308
National Bank of Abu Dhabi,2016,41458,United Arab Emirates,"Banks, Diverse Financials, Insurance",FAB UH,AEN000101016,1774,33577,NA,2017,35351
CVS Health,2016,4151,USA,Food & Staples Retailing,CVS US,US1266501006,198055,1285716,NA,2017,1483771
ModusLink Corporation,2016,41519,USA,Technology Hardware & Equipment,MLNK US,US60786L1070,906,10591,NA,2017,11497
Chaun-Choung Technology Corp,2016,41540,Taiwan,Technology Hardware & Equipment,6230 TT,TW0006230006,1455,12237,NA,2017,13692
Humanscale Corporation,2016,41697,USA,Trading Companies & Distributors and Commercial Services & Supplies,1000505D US,NA,449,947,NA,2017,1396
AIS,2016,41796,USA,Trading Companies & Distributors and Commercial Services & Supplies,2266328Z US,NA,1783,2095,NA,2017,3878
Daewoo E&C,2016,4190,South Korea,Construction & Engineering,047040 KS,KR7047040001,11118,57475,NA,2017,68593
Keilhauer,2016,41902,Canada,Trading Companies & Distributors and Commercial Services & Supplies,5090674Z CN,NA,464,177,NA,2017,641
"MIRAE ASSET DAEWOO CO., LTD",2016,4192,South Korea,"Banks, Diverse Financials, Insurance",006800 KS,KR7006800007,719,16402,NA,2017,17121
Mondelez International Inc,2016,42037,USA,Food & Beverage Processing,MDLZ US,US6092071058,812564,885535,113046,2017,1811145
"Daihatsu Motor Co., Ltd.",2016,4219,Japan,Automobiles & Components,7262 JP,JP3496600002,222726,329587,NA,2017,552313
Daimler AG,2016,4235,Germany,Automobiles & Components,DAI GR,DE0007100000,1056000,2141000,NA,2017,3197000
Air Canada,2016,427,Canada,Air Transportation - Airlines,AC CN,CA0089117034,11091279,19049,NA,2017,11110328
Air France - KLM,2016,429,France,Air Transportation - Airlines,AF FP,FR0000031122,27407154,25845,NA,2017,27432999
Danone,2016,4311,France,Food & Beverage Processing,BN FP,FR0000120644,547480,920124,158099,2017,1625703
Air Liquide,2016,432,France,Chemicals,AI FP,FR0000120073,14062000,11174000,NA,2017,25236000
Darfon Electronics Corp,2016,4332,Taiwan,Technology Hardware & Equipment,8163 TT,TW0008163007,4307,84979,NA,2017,89286
"Air Products & Chemicals, Inc.",2016,435,USA,Chemicals,APD US,US0091581068,15386624,14950174,NA,2017,30336798
DaVita Inc.,2016,4357,USA,"Healthcare Providers & Services, and Healthcare Technology",DVA US,US23918K1088,31047,259482,NA,2017,290529
Deere & Company,2016,4365,USA,Electrical Equipment and Machinery,DE US,US2441991054,323717,789848,7200,2017,1120765
Dean Foods Company,2016,4392,USA,Food & Beverage Processing,DF US,US2423702032,529413,436193,1485,2017,967091
Debenhams,2016,4401,United Kingdom,Retailing,DEB LN,GB00B126KH97,14241,125453,NA,2017,139694
Delphi Automotive Plc,2016,4407,United Kingdom,Automobiles & Components,DLPH US,JE00B783TY65,48117,533916,NA,2017,582033
Delta Air Lines,2016,4408,USA,Air Transportation - Airlines,DAL US,US2473617023,35436857,296045,NA,2017,35732902
Delta Electronics,2016,4416,Taiwan,Technology Hardware & Equipment,2308 TT,TW0002308004,19900,350974,NA,2017,370874
Groupe Auchan,2016,44321,France,Food & Staples Retailing,UNLSTD,NA,1006093,2345769,NA,2017,3351862
PT Musim Mas,2016,44339,Singapore,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",0676250D SP,NA,3067339,212393,1482121,2017,4761853
John Laing Infrastructure Fund,2016,44405,Guernsey,"Banks, Diverse Financials, Insurance",JLIF LN,GG00B4ZWPH08,32219,90139,NA,2017,122358
Petra Diamonds Ltd,2016,44407,United Kingdom,Mining - Other (Precious Metals and Gems),PDL LN,BMG702781094,57332,597256,3330,2017,657918
"Oplink Communications, LLC",2016,44619,China,Technology Hardware & Equipment,OPLK US,US68375Q4038,403,19564,NA,2017,19967
Via Seating,2016,44650,USA,Building Products,1229430D US,NA,130,197,NA,2017,327
Compatico,2016,44653,USA,Trading Companies & Distributors and Commercial Services & Supplies,4995445Z US,NA,112,186,NA,2017,298
L'Occitane International S.A.,2016,44658,Luxembourg,Retailing,973 HK,LU0501835309,2749,16484,NA,2017,19233
Direct Line Insurance Group,2016,44665,United Kingdom,"Banks, Diverse Financials, Insurance",DLG LN,GB00BY9D0Y18,7383,11932,NA,2017,19315
Amtrak,2016,44672,USA,Ground Transportation - Railroads Transportation,5330Z US,NA,754289,302758,186,2017,1057233
Synthomer plc,2016,44674,United Kingdom,Chemicals,SYNT LN,GB0009887422,130505,176577,NA,2017,307082
Hongkong & Shanghai Hotels Ltd,2016,44729,Hong Kong,"Hotels, Restaurants & Leisure, and Tourism Services",45 HK,HK0045000319,22568,89483,NA,2017,112051
Cosmax Inc,2016,44839,South Korea,"Consumer Durables, Household and Personal Products",192820 KS,KR7044820009,NA,NA,NA,2017,0
AKBANK T.A.S.,2016,449,Turkey,"Banks, Diverse Financials, Insurance",AKBNK TI,TRAAKBNK91N6,7912,38763,NA,2017,46675
Super Retail Group,2016,44950,Australia,Retailing,SUL AU,AU000000SUL0,785,82836,NA,2017,83621
Celsia SA ESP,2016,45029,Colombia,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CELSIA CB,COT60PA00038,2491512,51370,NA,2017,2542882
Inside Secure SA,2016,45052,France,Semiconductors & Semiconductors Equipment,INSD FP,FR0010291245,NA,NA,NA,2016,0
Borregaard ASA,2016,45101,Norway,Chemicals,BRG NO,NO0010657505,134176,60785,102611,2017,297572
AbbVie Inc,2016,45103,USA,"Pharmaceuticals, Biotechnology & Life Sciences",ABBV US,US00287Y1091,297395,336305,NA,2017,633700
Deloitte Touche Tohmatsu Limited,2016,4528,USA,Professional Services,191738Z US,NA,50915,190703,NA,2017,241618
Akamai Technologies Inc,2016,454,USA,Software & Services,AKAM US,US00971T1016,0,108382,NA,2017,108382
Dentsply Sirona Inc.,2016,4562,USA,"Healthcare Providers & Services, and Healthcare Technology",XRAY US,US24906P1093,6604,75605,NA,2017,82209
Dentsu Inc.,2016,4564,Japan,Media,4324 JP,JP3551520004,5169,56919,NA,2017,62088
Aker ASA,2016,457,Norway,"Banks, Diverse Financials, Insurance",AKER NO,NO0010234552,1,426,NA,2017,427
Derwent London,2016,4575,United Kingdom,Real Estate,DLN LN,GB0002652740,3529,4342,28,2017,7899
Aktia Bank,2016,458,Finland,"Banks, Diverse Financials, Insurance",AKTAV FH,FI4000058870,NA,NA,NA,2017,0
AkzoNobel,2016,462,Netherlands,Chemicals,AKZA NA,NL0000009132,1650000,2900000,62200,2017,4612200
Dexus Property Group,2016,4627,Australia,Real Estate,DXS AU,AU000000DXS1,17044,134895,NA,2017,151939
Correos (Grupo Sepi),2016,46270,Spain,Air Freight transportation and Logistics,4370569Z SM,NA,38301,0,NA,2017,38301
Fleury S.A.,2016,46278,Brazil,"Healthcare Providers & Services, and Healthcare Technology",FLRY3 BZ,BRFLRYACNOR5,4400,3244,270,2017,7914
Desjardins Group,2016,4638,Canada,"Banks, Diverse Financials, Insurance",5132650Z CN,NA,6243,1008,NA,2017,7251
Deutsche Börse AG,2016,4652,Germany,"Banks, Diverse Financials, Insurance",DB11 GY,DE000A2AA253,2878,21968,NA,2017,24846
Deutsche Lufthansa AG,2016,4657,Germany,Air Transportation - Airlines,LHA GR,DE0008232125,29250821,275161,NA,2017,29525982
ENTEGA AG,2016,46599,Germany,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",6283223Z GR,NA,39617,69200,17,2017,108834
Deutsche Postbank AG,2016,4662,Germany,"Banks, Diverse Financials, Insurance",DPB GR,DE0008001009,12509,20745,NA,2017,33254
Deutsche Post AG,2016,4663,Germany,Air Freight transportation and Logistics,DPW GR,DE0005552004,5680000,810000,49100,2017,6539100
Deutsche Telekom AG,2016,4667,Germany,Telecommunication Services,DTE GR,DE0005557508,289975,3573709,NA,2017,3863684
Devon Energy Corporation,2016,4678,USA,Oil & Gas,DVN US,US25179M1036,5381100,571610,NA,2017,5952710
Diageo Plc,2016,4702,United Kingdom,Food & Beverage Processing,DGE LN,GB0002374006,595166,189040,10340,2017,794546
Diebold Nixdorf,2016,4719,USA,Technology Hardware & Equipment,DBD US,US2536511031,100794,31285,NA,2017,132079
ELTEL,2016,47220,Finland,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ELTEL SS,NA,36266,NA,NA,2017,36266
DIC Corporation,2016,4724,Japan,Chemicals,4631 JP,JP3493400000,281221,0,67909,2017,349130
Dignity,2016,4730,United Kingdom,Specialized Consumer Services,DTY LN,GB00BRB37M78,15235,7103,NA,2017,22338
Discovery Holdings Ltd,2016,4787,South Africa,"Banks, Diverse Financials, Insurance",DSY SJ,ZAE000022331,1493,36553,NA,2017,38046
DNO International ASA,2016,4810,Norway,Oil & Gas,DNO NO,NO0003921009,97062,893,NA,2017,97955
Koppers Holdings Inc,2016,48105,USA,Chemicals,KOP US,US50060P1066,298449,145514,NA,2017,443963
Distell Group Ltd,2016,4816,South Africa,Food & Beverage Processing,DST SJ,ZAE000028668,77102,83471,NA,2017,160573
ESB Group,2016,48176,Ireland,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",0145694D US,NA,10255614,14178,NA,2017,10269792
Dover Corporation,2016,4822,USA,Electrical Equipment and Machinery,DOV US,US2600031080,105602,143255,NA,2017,248857
The Dow Chemical Company,2016,4826,USA,Chemicals,DOW US,US2605431038,25570000,9840000,NA,2017,35410000
Domtar Corporation,2016,4833,Canada,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",UFS US,US2575592033,1853334,705025,12025000,2017,14583359
Domino's Pizza Group plc,2016,4835,United Kingdom,"Hotels, Restaurants & Leisure, and Tourism Services",DOM LN,GB00B1S49Q91,7571,4317,NA,2017,11888
PT Fajar Surya Wisesa Tbk,2016,48440,Indonesia,Containers & Packaging,FASW IJ,ID1000068208,600843,56052,NA,2017,656895
North Denmark Region,2016,48503,Denmark,"Healthcare Providers & Services, and Healthcare Technology",NA,NA,2792,25894,NA,2017,28686
Altarea Cogedim,2016,48587,France,Real Estate,ALTA FP,FR0000033219,391,724,NA,2017,1115
Doosan Heavy Industries & Construction,2016,4861,South Korea,Electrical Equipment and Machinery,034020 KS,KR7034020008,121940,146920,NA,2017,268860
Enaex,2016,48792,Chile,Chemicals,ENAEX CI,CLP3710P1022,233142,37394,NA,2017,270536
Flughafen München GmbH,2016,48881,Germany,Air Transportation - Airport Services,4182Z GR,NA,85262,16329,NA,2017,101591
Dr Pepper Snapple Group Inc,2016,4895,USA,Food & Beverage Processing,DPS US,US26138E1091,241976,154480,NA,2017,396456
Downer EDI,2016,4899,Australia,Trading Companies & Distributors and Commercial Services & Supplies,DOW AU,AU000000DOW2,220712,41187,3341,2017,265240
Drillisch AG,2016,4919,Germany,Telecommunication Services,DRI GR,DE0005545503,NA,NA,NA,2017,0
REMA1000,2016,49247,Norway,Food & Staples Retailing,NA,NA,17275,18017,NA,2017,35292
China State Construction International Holdings Ltd,2016,49530,China,Construction & Engineering,3311 HK,KYG216771363,1849121,78481,NA,2017,1927602
Great Eagle Holdings Ltd,2016,49539,Bermuda,Real Estate,41 HK,BMG4069C1486,14083,100746,NA,2017,114829
ÇIMSA ÇIMENTO SANAYI VE TICARET A.S.,2016,49585,Turkey,Construction Materials,CIMSA TI,TRACIMSA91F9,3338415,202923,NA,2017,3541338
Groupe Fnac,2016,49590,France,Retailing,FNAC FP,FR0011476928,9099,11793,NA,2017,20892
CNH Industrial NV,2016,49607,United Kingdom,Electrical Equipment and Machinery,CNHI US,NL0010545661,172562,265841,NA,2017,438403
PEGASUS HAVA TASIMACILIGI A.S.,2016,49618,Turkey,Air Transportation - Airlines,PGSUS TI,TREPEGS00016,2084883,3074,NA,2017,2087957
Caverion,2016,49671,Finland,Trading Companies & Distributors and Commercial Services & Supplies,CAV1V FH,FI4000062781,32501,5742,NA,2017,38243
Technopolis,2016,49680,Finland,Real Estate,TPS1V FH,FI0009006886,1553,50437,NA,2017,51990
RCL Foods Ltd,2016,49681,South Africa,Food & Beverage Processing,RCL SJ,ZAE000179438,583376,491152,5723,2017,1080251
Sibanye Gold Ltd,2016,49682,South Africa,Mining - Other (Precious Metals and Gems),SGL SJ,ZAE000173951,728370,5877391,NA,2017,6605761
News Corp,2016,50074,USA,Media,NWS US,US65249B2088,26951,183917,2,2017,210870
Vonovia,2016,50084,Germany,Real Estate,VNA GR,DE000A1ML7J1,14453,29560,NA,2017,44013
Magellan Financial Group,2016,50088,Australia,"Banks, Diverse Financials, Insurance",MFG AU,AU000000MFG4,0,123,NA,2017,123
Orora,2016,50096,Australia,Containers & Packaging,ORA AU,AU000000ORA8,351719,332460,NA,2017,684179
Village Roadshow,2016,50099,Australia,Media,VRL AU,AU000000VRL0,4160,61574,NA,2017,65734
Fonterra Co-operative Group,2016,50101,New Zealand,Food & Beverage Processing,FSF NZ,NZFSFE0001S5,1388701,573675,1340,2017,1963716
Stella-Jones Inc,2016,50116,Canada,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",SJ CN,CA85853F1053,22756,14730,NA,2017,37486
Attacq Ltd,2016,50119,South Africa,Real Estate,ATT SJ,ZAE000177218,2004,161612,NA,2017,163616
Via Varejo,2016,50155,Brazil,Retailing,VVAR3 BZ,BRVVARACNOR1,100507,NA,NA,2017,100507
Suntory Beverage & Food,2016,50182,Japan,Food & Beverage Processing,2587 JP,JP3336560002,200375,218176,1608,2017,420159
DTE Energy Company,2016,5021,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",DTE US,US2333311072,32000000,2100000,1222000,2017,35322000
Uacj Corp,2016,50241,Japan,"Mining - Iron, Aluminum, Other Metals",5741 JP,JP3826900007,NA,NA,NA,2017,0
Toyo Tire & Rubber Co Ltd,2016,50248,Japan,Tires,5105 JP,JP3610600003,306538,354834,NA,2017,661372
DSV A/S,2016,5025,Denmark,Ground Transportation - Trucking Transportation,DSV DC,DK0060079531,6313000,63000,NA,2017,6376000
Voya Financial,2016,50310,USA,"Banks, Diverse Financials, Insurance",VOYA US,US9290891004,1442,22660,NA,2017,24102
RIO PARANAPANEMA ENERGIA S.A.,2016,5047,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",GEPA4 BZ,BRGEPAACNPR9,588,16,252,2017,856
Mongolian Mining Corp.,2016,50511,Mongolia,"Mining - Iron, Aluminum, Other Metals",975 HK,KYG6264V1023,60006,20804,NA,2017,80810
Duke Energy Corporation,2016,5052,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",DUK US,US26441C2044,96837200,NA,NA,2017,96837200
Sensata Technologies Holding NV,2016,50602,Netherlands,Electrical Equipment and Machinery,ST US,NL0009324904,2061,123844,NA,2017,125905
Duratex S/A,2016,5066,Brazil,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",DTEX3 BZ,BRDTEXACNOR3,189496,61609,4940418,2017,5191523
E.ON SE,2016,5108,Germany,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",EOAN GR,DE000ENAG999,4613319,3363392,427171,2017,8403882
Valmet,2016,51086,Finland,Electrical Equipment and Machinery,VALMT FH,FI4000074984,16600,66800,NA,2017,83400
Alcoa Corp.,2016,511,USA,"Mining - Iron, Aluminum, Other Metals",AA US,US0138171014,17580658,8074409,NA,2017,25655067
E.I. du Pont de Nemours and Company,2016,5115,USA,Chemicals,DD US,US2635341090,4068250,2876391,80550,2017,7025191
Worthington Industries,2016,51343,USA,"Mining - Iron, Aluminum, Other Metals",WOR US,US9818111026,126399,191840,NA,2017,318239
East Japan Railway Company,2016,5145,Japan,Ground Transportation - Railroads Transportation,9020 JP,JP3783600004,1060000,0,NA,2017,1060000
Ecolab Inc.,2016,5154,USA,Chemicals,ECL US,US2788651006,441129,257755,748,2017,699632
Eastman Chemical Company,2016,5169,USA,Chemicals,EMN US,US2774321002,5655100,2008160,NA,2017,7663260
Ebos Group,2016,5184,New Zealand,"Healthcare Providers & Services, and Healthcare Technology",EBO NZ,NZEBOE0001S6,NA,NA,NA,2017,0
Axalta Coating Systems,2016,51923,USA,Chemicals,AXTA US,BMG0750C1082,96528,136902,NA,2017,233430
Eaton Corporation,2016,5194,USA,Electrical Equipment and Machinery,ETN US,IE00B8KQN827,152714,806165,NA,2017,958879
eBay Inc.,2016,5197,USA,Software & Services,EBAY US,US2786421030,26471,170635,NA,2017,197106
Algonquin Power & Utilities Corporation,2016,524,Canada,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",AQN CN,CA0158571053,359703,41504,155470,2017,556677
KORDSA GLOBAL ENDÜSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET A.S.,2016,52715,Turkey,"Textiles, Apparel, Footwear and Luxury Goods",KORDS TI,NA,70227,288915,NA,2017,359142
Alfa Laval Corporate AB,2016,528,Sweden,Electrical Equipment and Machinery,ALFA SS,SE0000695876,9825,49592,NA,2017,59417
EDP - Energias do Brasil S.A.,2016,5280,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ENBR3 BZ,BRENBRACNOR2,5218278,274861,NA,2017,5493139
OFS Brands,2016,52854,USA,Building Products,0030080D US,NA,35551,16065,2147,2017,53763
HK Electric Investments,2016,52872,Hong Kong,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",2638 HK,HK0000179108,8540000,NA,NA,2017,8540000
Arkhangelsk Pulp and Paper Mill,2016,52914,Russia,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",ACBK RU,RU0005418796,1869737,13236,1592106,2017,3475079
Korea South-East Power,2016,52935,South Korea,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",KOSEPCO KS,KR7064980006,60017879,85270,NA,2017,60103149
Abertis Infraestructuras,2016,53,Spain,Ground Transportation - Highways & Railtracks,ABE SM,ES0111845014,60972,56469,NA,2017,117441
EDP - Energias de Portugal S.A.,2016,5300,Portugal,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",EDP PL,PTEDP0AM0009,18931326,564915,NA,2017,19496241
ISG plc,2016,53006,United Kingdom,Construction & Engineering,ISG LN,GB0002925955,35,0,NA,2017,35
M50 Concession Ltd.,2016,53060,Ireland,Ground Transportation - Highways & Railtracks,0876412D ID,NA,258,1343,NA,2017,1601
Stance Healthcare,2016,53090,Canada,Trading Companies & Distributors and Commercial Services & Supplies,0082660D CN,NA,45,13,NA,2017,58
Eiffage,2016,5323,France,Construction & Engineering,FGR FP,FR0000130452,384201,25361,NA,2017,409562
Allergan plc,2016,533,USA,"Pharmaceuticals, Biotechnology & Life Sciences",AGN UN,IE00BY9D5467,85464,77667,NA,2017,163131
Eldorado Gold Corporation,2016,5337,Canada,Mining - Other (Precious Metals and Gems),ELD CN,CA2849021035,67268,98366,NA,2017,165634
Electrolux,2016,5344,Sweden,"Consumer Durables, Household and Personal Products",ELUXB SS,SE0000103814,82562,200928,NA,2017,283490
Ekornes ASA,2016,5350,Norway,"Consumer Durables, Household and Personal Products",EKO NO,NO0003035305,812,2540,2876,2017,6228
Navient Corp,2016,53510,USA,"Banks, Diverse Financials, Insurance",NAVI US,US63938C1080,NA,NA,NA,2017,0
Seven Generations Energy,2016,53513,Canada,Oil & Gas,VII CN,CA81783Q1054,536103,5025,NA,2017,541128
Qatar National Bank,2016,53553,Qatar,"Banks, Diverse Financials, Insurance",QNBK QD,QA0006929895,21630,NA,NA,2017,21630
Delta Electronics (Thailand) plc,2016,53580,Thailand,Technology Hardware & Equipment,DELTA TB,TH0528010Z00,425,41461,NA,2017,41886
NN Group NV,2016,53612,Netherlands,"Banks, Diverse Financials, Insurance",NN NA,NL0010773842,2462,7133,NA,2017,9595
Ontex Group NV,2016,53615,Belgium,"Consumer Durables, Household and Personal Products",ONTEX BB,BE0974276082,8319,130142,NA,2017,138461
Leasinvest Real Estate Sca,2016,53623,Belgium,Real Estate,LEAS BB,NA,NA,NA,NA,2017,0
APG SGA SA,2016,53635,Switzerland,Media,APGN SW,NA,1519,53,NA,2017,1572
Conzzeta AG-Reg,2016,53649,Switzerland,Electrical Equipment and Machinery,CON SW,NA,NA,NA,NA,2017,0
Samsung SDS,2016,53664,South Korea,Software & Services,018260 KS,KR7018260000,4624,96618,NA,2017,101242
Scentre Group,2016,53669,Australia,Real Estate,SCG AU,AU000000SCG8,19431,283594,NA,2017,303025
Just Eat,2016,53676,United Kingdom,Software & Services,JE/ LN,GB00BKX5CN86,1088,802,NA,2017,1890
Kennedy Wilson Europe Real Estate,2016,53679,United Kingdom,"Banks, Diverse Financials, Insurance",KWE LN,NA,4901,12867,NA,2017,17768
JRP Group,2016,53683,United Kingdom,"Banks, Diverse Financials, Insurance",JRP LN,NA,95,821,NA,2017,916
EDF,2016,5369,France,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",EDF FP,FR0010242511,49958932,554340,3022244,2017,53535516
Tarkett,2016,53746,France,Building Products,TKTT FP,NA,105787,194781,NA,2017,300568
Eli Lilly & Co.,2016,5377,USA,"Pharmaceuticals, Biotechnology & Life Sciences",LLY US,US5324571083,475276,1040551,63447,2017,1579274
Elementis plc,2016,5378,United Kingdom,Chemicals,ELM LN,GB0002418548,194687,88365,7904,2017,290956
Elisa Oyj,2016,5400,Finland,Telecommunication Services,ELISA FH,FI0009007884,2663,79271,NA,2017,81934
Eltek AS,2016,5408,Norway,Electrical Equipment and Machinery,ELT NO,NO0003109407,1680,2957,NA,2017,4637
ElringKlinger AG,2016,5411,Germany,Automobiles & Components,ZIL2 GR,DE0007856023,26640,72400,NA,2017,99040
Basware Oyj,2016,54210,Finland,Software & Services,BAS1V FH,NA,0,646,NA,2017,646
Sopra Steria Group,2016,54735,France,Software & Services,SOP FP,FR0000050809,3465,20755,431,2017,24651
Hispania Activos Inmobiliarios SAU,2016,54737,Spain,Real Estate,HIS SM,NA,7316,20051,NA,2017,27367
Indivior,2016,54744,United Kingdom,"Pharmaceuticals, Biotechnology & Life Sciences",INDV LN,GB00BRS65X63,352,1254,NA,2017,1606
Banco de credito social cooperativo,2016,54747,Spain,"Banks, Diverse Financials, Insurance",1113956D SM,NA,883,0,NA,2017,883
Entra Asa,2016,54924,Norway,Real Estate,ENTRA NO,NA,302,6252,NA,2017,6554
Inwido Ab,2016,54927,Sweden,Building Products,INWI SS,NA,3516,7213,NA,2017,10729
Recipharm Ab,2016,54930,Sweden,"Pharmaceuticals, Biotechnology & Life Sciences",RECIB SS,NA,15379,20233,NA,2017,35612
ANA Holdings Inc.,2016,550,Japan,Air Transportation - Airlines,9202 JP,JP3429800000,10653259,82739,NA,2017,10735998
Bio Pappel SAB de CV,2016,55101,Mexico,Containers & Packaging,CADGF US,MX01PA0B0014,379445,379445,NA,2017,758890
ENAGAS,2016,5516,Spain,Gas Utilities,ENG SM,ES0130960018,263540,59906,NA,2017,323446
Emera Inc.,2016,5519,Canada,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",EMA CN,CA2908761018,23424741,5582,458027,2017,23888350
Emerson Electric Co.,2016,5521,USA,Electrical Equipment and Machinery,EMR US,US2910111044,175499,604155,NA,2017,779654
Emira Property Fund,2016,5532,South Africa,Real Estate,EMI SJ,ZAE000050712,797,203408,NA,2017,204205
EnBW Energie Baden-Württemberg AG,2016,5566,Germany,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",EBK GR,DE0005220008,16181000,1040000,7600,2017,17228600
Encana Corporation,2016,5569,Canada,Oil & Gas,ECA CN,CA2925051047,4072000,NA,NA,2017,4072000
ENEL SpA,2016,5574,Italy,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ENEL IM,IT0003128367,106694737,439000,NA,2017,107133737
Endesa,2016,5584,Spain,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",ELE SM,ES0130670112,29354240,805890,NA,2017,30160130
DONLIM,2016,56123,China,Electrical Equipment and Machinery,NA,NA,927,102331,NA,2017,103258
Enerplus Corporation,2016,5624,Canada,Oil & Gas,ERF CN,CA2927661025,534458,171620,NA,2017,706078
"Jiangxi Black Cat Carbon Black Co., Ltd.",2016,56250,China,Chemicals,002068 CH,CNE000001NQ3,60510,34762,NA,2017,95272
WHISTL UK LTD,2016,56296,United Kingdom,Air Freight transportation and Logistics,1986310Z LN,NA,17095,2011,NA,2017,19106
SunEdison,2016,56316,USA,Semiconductors & Semiconductors Equipment,SUNEQ US,US86732Y1091,11989,347699,NA,2017,359688
Eni SpA,2016,5634,Italy,Oil & Gas,ENI IM,IT0003132476,40100992,710558,NA,2017,40811550
TUI Group,2016,56372,United Kingdom,"Hotels, Restaurants & Leisure, and Tourism Services",TUI LN,DE000TUAG000,6720644,434143,NA,2017,7154787
Alma Media Corporation,2016,569,Finland,Media,ALN1V FH,FI0009013114,359,4364,NA,2017,4723
Alpha Bank,2016,573,Greece,"Banks, Diverse Financials, Insurance",ALPHA GA,GRS015003007,2929,53754,NA,2017,56683
"TANAX, INC.",2016,57487,Japan,Containers & Packaging,7781872Z JP,NA,1309,2090,191,2017,3590
"JEONGSAN INTERNATIONAL CO., LTD",2016,57625,South Korea,"Textiles, Apparel, Footwear and Luxury Goods",0572490D KS,NA,11379,11492,NA,2017,22871
Australia Post,2016,57626,Australia,Air Freight transportation and Logistics,1067Z AU,NA,119338,169447,NA,2017,288785
New Zealand Post Group,2016,57629,New Zealand,Air Freight transportation and Logistics,1023Z NZ,NA,14866,4671,NA,2017,19537
AENA SA,2016,57666,Spain,Air Transportation - Airport Services,AENA SM,ES0105046009,18282,229986,NA,2017,248268
"EOG Resources, Inc.",2016,5767,USA,Oil & Gas,EOG US,US26875P1012,4836507,NA,NA,2017,4836507
Farmer Brothers,2016,57973,USA,Food & Beverage Processing,FARM US,NA,36562,4093,NA,2017,40655
AROMSA BESIN AROMA VE KATKI MALZEMELERI A.S.,2016,57986,Turkey,Specialized Consumer Services,0488972D TI,NA,2181,2434,NA,2017,4615
Axtel,2016,58029,Mexico,Telecommunication Services,AXTELCPO MM,NA,16546,48866,NA,2017,65412
ERG S.p.A,2016,5804,Italy,Oil & Gas,ERG IM,IT0001157020,1215501,13171,NA,2017,1228672
Ericsson,2016,5811,Sweden,Technology Hardware & Equipment,ERICB SS,SE0000108656,75379,179319,1862,2017,256560
Allstate Insurance Company,2016,582,USA,"Banks, Diverse Financials, Insurance",ALL US,US0200021014,56521,104350,NA,2017,160871
Fredman Group Oy,2016,58251,Finland,"Consumer Durables, Household and Personal Products",NA,NA,0,249,NA,2017,249
