Ticker,Share of portfolio
2050,6.475537514055168e-6
2053,8.579578779298879e-7
2055,1.7513804099560555e-7
2056,3.092228111395705e-7
20560,7.955199789793429e-7
2059,2.7585995540300112e-6
2060,3.940771981549296e-6
2061,1.6786412163863956e-7
2062,2.4770391192768406e-7
2063,2.5454150040881425e-7
2064,3.419075811636972e-7
2065,6.056756441701919e-7
2067,7.859670614947411e-8
2070,1.0428595760681926e-6
2073,1.1025447176030481e-7
2074,3.6167825040430396e-7
2077,7.961369914688104e-8
2078,4.975996982216005e-7
2079,1.1823523879327816e-7
207940,6.304572080600387e-6
2080,1.1239808275910492e-6
2081,6.263732870936688e-7
2083,5.223003640741243e-7
2085,3.7151217223259314e-7
2088,3.1748368924627583e-7
2091,5.129738958887167e-7
2092,3.681034936934994e-7
2093,2.743668152944826e-7
2094,4.021293763044446e-8
2095,1.7293970092327802e-7
2096,8.862126202198607e-8
2097,2.021150525359264e-7
2099,4.923044935008937e-7
21,4.873924340091114e-7
210,4.399636636806425e-6
2100,3.2125736732299503e-7
2101,3.6576997864955194e-6
2102,5.326759452162497e-7
2103,2.180994042872538e-6
2104,3.4279319518467545e-6
2105,9.902073081956549e-6
2106,1.606351910818255e-6
2107,7.155561478328038e-7
2108,1.1840012513613519e-6
2109,6.018535290278916e-7
2110,5.109011156573324e-7
2111,1.6314957903950383e-7
2117,5.205057931524059e-7
2118,2.3465215417568809e-7
2120,1.796176019275288e-6
2123,4.0643470227911104e-7
2124,8.417483322161733e-7
21240,7.333309733529635e-6
2127,7.487700556414624e-6
2128,3.5485732675920594e-6
2129,9.663022787638056e-7
2130,2.042414355565506e-7
2131,2.667981848822796e-7
2132,1.7708859852467638e-7
2133,1.2019288774193716e-7
213420,4.127439284261651e-7
213500,3.706537171043322e-7
2136,2.2222820625165132e-7
2137,9.780214753467218e-8
2138,5.335769726462738e-7
2140,1.8281199984580907e-7
2141,1.0501808410794676e-7
2142,4.052188158193729e-6
214320,1.1643042736717096e-6
214370,4.252259017958338e-7
2145,1.5519258911926724e-7
2146,9.34528547585592e-7
2148,1.2669425950612315e-7
215,3.748593886490176e-7
215000,2.889569254432925e-7
2151,2.765459668196892e-7
2152,6.714329180129859e-7
2153,1.2526258531974075e-6
2154,6.012400365047385e-7
2155,2.633788692138036e-7
2156,3.324038274885858e-7
215600,6.604406350707794e-7
2157,2.369402873934679e-6
2158,1.4766734150925054e-7
2160,1.8887620644950184e-7
2165,1.1067682836812865e-7
2167,9.918059435991054e-8
2168,4.893546359128179e-7
2169,1.6459247435452865e-7
217,1.081297573089955e-7
2170,5.005171828917804e-7
2172,9.22952430821425e-8
2174,5.912283538260474e-7
2175,2.2540266321159986e-6
2176,1.3562903104486745e-7
2177,1.491890767244025e-7
2178,8.495708380655445e-8
2179,1.217218603764923e-6
218,1.1322804542513497e-7
2180,5.829670415084461e-7
2181,6.079218327423882e-6
2182,1.7801674020606698e-7
2183,4.361417595965846e-7
2185,5.139714917678383e-7
2186,4.528163823808242e-6
2187,3.998715934502752e-7
2191,3.9106113032548795e-7
2192,9.875052061900549e-8
2193,2.312357759156418e-7
2195,3.364067252749339e-7
2196,5.257945567906046e-6
2197,1.2831047745872898e-7
2199,4.82028206584597e-7
220,2.2690539393958857e-6
2201,5.557198993188807e-6
2202,2.2900681061281615e-5
2203,4.5618956210774424e-7
2204,1.5417228818319364e-6
2206,5.885315770669278e-6
2207,1.7603757714180456e-5
2208,4.107871027655729e-6
2210,4.57304019792475e-7
22100,4.062302148013731e-7
2211,3.364466718116808e-7
2212,4.733029268088888e-6
2215,1.4715821929705403e-7
2216,2.930585459018683e-7
2217,4.852896195300596e-7
2218,1.2101465812950552e-7
2220,1.0542001593235292e-6
222040,9.74349166667891e-8
2221,5.073779315490063e-7
2222,2.3194409026558467e-6
2223,5.539731468087887e-7
2224,8.748037775295084e-8
2225,2.2089918016912243e-7
2227,6.816568679186235e-7
2228,6.977447961101708e-7
2229,4.465274623068761e-6
2230,2.785857510928722e-6
2231,2.2017696079830192e-6
2232,5.592620715762807e-7
2233,1.531470899961809e-6
2234,2.621814621592275e-7
2236,1.5119336218541181e-6
2237,3.3767504652539153e-7
2238,1.1825159702969873e-5
2240,7.689872233597998e-7
2241,1.6961286570907814e-6
2242,5.052895084802952e-7
2244,3.1829002536768166e-7
2245,7.81174096137807e-8
2247,5.525592428856097e-8
2249,1.5974778334883389e-7
2250,3.757908636695712e-6
2251,1.6942235680755405e-7
2253,1.215632002917656e-7
2254,4.323275609071019e-7
2255,1.1120027941931653e-6
2258,2.771022261150305e-7
2261,2.1937973923677843e-7
2262,3.121048474886616e-7
226320,9.778609447182821e-8
2264,2.9791075584344856e-6
2266,7.493400380672646e-7
2267,1.3070072476557384e-5
2268,6.820314617298096e-7
2269,4.0412675380791486e-5
2270,3.671144869112416e-6
2271,8.494167039750843e-7
2273,4.5233558413274743e-7
2275,2.551309225192884e-7
2276,1.1391447855244931e-7
2277,1.749313469717273e-7
2278,4.9047803581461546e-8
2279,1.315076648371643e-7
2280,9.584240794804855e-6
2281,1.6102720695722469e-006
2282,9.561325584666174e-6
2284,6.305648583552946e-8
2285,2.153215700918756e-7
2287,1.0811453161399742e-7
2288,1.0426144187231895e-6
2290,8.790612781361876e-6
2292,1.1176537276246202e-6
2293,3.109187032769608e-7
2294,5.058666248920723e-7
2296,1.637760097599677e-6
2298,3.955598017695137e-7
2299,8.615903771251354e-7
23,5.790642755274299e-6
230,1.868622432864663e-7
2301,1.2338677343884068e-5
2302,2.0866460423907893e-7
2303,9.058309282249046e-6
2304,4.6149577938592924e-6
2305,4.3668099598546976e-7
2307,1.9364330898205565e-7
2308,3.356255052931399e-5
2309,2.527711554097981e-7
2310,3.3223893112604474e-6
2311,2.0182872604149646e-6
2312,1.690113256139548e-6
2313,3.9650377817370246e-5
2314,3.012164941389633e-6
2315,1.684197552204878e-7
2316,9.444823978333868e-7
23160,2.1938528793635968e-7
2317,1.0420365119886659e-4
2318,2.2608087649933384e-4
2319,1.8598847260062558e-5
2320,7.596554498236419e-7
2322,1.818529896320935e-7
2323,1.6772919695241673e-6
2324,9.347586224369948e-6
2325,7.18617346812078e-8
2326,1.3608617443473514e-6
2327,1.3590416127897543e-5
2328,2.9522657224116807e-5
2329,1.4314952323233676e-6
2330,4.8273557280833454e-4
2331,2.4269411490173855e-5
2332,1.048457417548382e-6
2333,8.296895218222463e-6
2334,1.348965291156441e-7
2335,1.2500045308037633e-7
2337,8.072842417894643e-6
2338,9.425344265867541e-6
2339,1.181620303145887e-7
2340,1.6072103897307503e-6
2341,1.9727369866886135e-7
2342,1.1434411429390922e-6
2343,1.6284425272182664e-6
2344,6.29267816855505e-6
2345,1.009143359064969e-5
2346,6.429581569414141e-8
2347,6.043861946607848e-6
2348,5.948280664831254e-7
2349,1.2078704441784222e-6
235,5.6950744403142144e-8
2350,5.772567522262752e-6
2351,9.845374470924126e-7
2352,6.533100443992686e-6
2353,7.352710810266866e-6
23530,2.241569339917367e-6
2354,8.771527894109676e-6
2355,1.5254340161806471e-6
2356,8.5798469241818e-6
2357,2.1526789221701657e-5
2358,2.0406853006129825e-7
2359,4.005620057185313e-6
23590,7.487417555131321e-7
2360,6.734870311251603e-6
2362,3.854155260486606e-6
2363,2.6311104298165226e-7
2364,3.154536661035848e-7
2367,2.6362202147721155e-6
2368,8.425747354995027e-7
2369,3.1070012069671425e-7
2370,1.5596242528691053e-7
2371,1.1226808119781308e-5
2372,7.057877173501228e-7
2373,5.023832778761385e-7
2374,4.6892721168621797e-7
2375,1.9465446198686053e-7
2376,3.137767330850345e-6
237690,2.1244987887499462e-7
2377,7.274725901658529e-6
2378,4.5835599079192514e-8
2379,1.351120205454935e-5
2380,7.84679532945201e-6
2382,5.2759490240996094e-5
2383,4.4186539511046925e-6
2384,4.447201484452396e-7
2385,6.991017183912475e-6
2386,3.5485248790819286e-6
2387,6.731413244202377e-7
2388,2.393658792387876e-5
2389,9.890760412908777e-7
2390,3.4613865580385236e-7
2391,4.137259330427187e-7
2392,1.8614242248403595e-6
2393,1.4497666920345733e-6
2394,4.92359556288284e-7
2395,1.2265414961995079e-5
2396,4.955175322878201e-7
2397,2.5527713090550296e-7
2398,3.5187346147420774e-7
2399,3.0775843299461677e-7
240,5.255012686608109e-7
2400,1.1833514438100537e-7
2401,5.827976817229878e-7
2402,8.634589661866139e-7
2404,2.9372858076736653e-6
2405,9.317589310940896e-7
2406,4.2017557915814396e-7
2407,2.400174388076191e-7
2408,7.599798452719948e-6
240810,1.5280377430054566e-6
2409,5.9606291206170355e-6
241,1.209322954624124e-5
2410,1.2071963421752189e-6
24110,5.537420639610843e-6
2412,2.9510072417112563e-5
2413,1.8907347441909174e-5
2414,6.318375596002037e-7
2415,9.091827711217108e-6
241560,1.3407633637644012e-6
2416,7.692897111927198e-8
2418,1.5284197123984234e-7
2419,3.660838991090263e-7
242,1.344110130557003e-6
2421,2.1803549808249467e-7
2422,1.0446411909541335e-6
2423,4.4029080796226924e-7
2424,3.4804749910005177e-7
2426,6.32321444701513e-7
2427,1.799557421111189e-6
2428,3.8205790376942147e-7
2429,4.965809646475975e-7
2430,2.979747768169377e-7
243070,3.440139188515901e-7
2432,3.700771682554864e-6
2433,6.639443942396716e-6
2434,2.975930915861635e-7
2435,9.215007755174973e-8
2436,4.6952998235121097e-7
2439,4.278526665758129e-6
2440,6.544934136015277e-7
2441,1.4638492084808234e-6
2444,2.7833509026754745e-7
2445,1.96646877648234e-7
2446,2.058351278234058e-7
2448,2.8230367809735872e-006
2449,4.9476091953199695e-6
245,2.004231232506588e-7
2450,3.0720968226119237e-7
2451,2.4602737519434598e-6
2453,4.2321096207978604e-7
2454,6.367651096723629e-5
2455,2.411123331349135e-6
2456,2.983881857218106e-6
2457,3.6402384171866776e-7
2458,3.243654948142498e-6
2460,6.722530198312393e-7
2461,6.860247232609015e-7
2462,1.7768907490686145e-7
2463,1.2657080623393996e-6
2465,5.978218969763122e-7
2466,8.765559838812752e-7
2467,2.1798398100489835e-7
2468,1.029110147771421e-6
2469,7.593220952480773e-8
2470,3.4141702178512843e-7
2471,6.647831108206406e-7
2472,1.1212660653157727e-7
24720,2.2051357004090308e-7
2474,2.044260377227001e-5
2475,4.654416512495657e-6
247540,6.24552802030516e-7
2476,1.118421154633937e-7
2478,9.646113923343598e-7
2479,1.4480595370543074e-7
2480,6.828870206460039e-8
2481,1.3771324097605855e-6
2482,2.0045274035599756e-7
2483,1.570528353341713e-7
2484,1.319600556926556e-7
2485,3.5016095070848574e-7
2488,3.14780398385039e-7
2489,1.1245185240527626e-6
2491,7.010124673004906e-7
2492,1.2895896447041979e-5
2493,6.03649792450788e-7
2495,3.3633247394042264e-7
